T,R,G,B
4880,1.0,0.958296960077,0.80612840001
4890,1.0,0.959864495313,0.809200336488
4900,1.0,0.961429398819,0.8122721284
4910,1.0,0.96299167464,0.815343752151
4920,1.0,0.964551326819,0.81841518431
4930,1.0,0.966108359403,0.821486401603
4940,1.0,0.967662776434,0.824557380915
4950,1.0,0.969214581957,0.827628099293
4960,1.0,0.970763780014,0.830698533937
4970,1.0,0.972310374648,0.833768662207
4980,1.0,0.9738543699,0.836838461617
4990,1.0,0.975395769811,0.839907909839
5000,1.0,0.976934578422,0.842976984696
5010,1.0,0.978470799774,0.846045664169
5020,1.0,0.980004437904,0.849113926388
5030,1.0,0.981535496852,0.852181749641
5040,1.0,0.983063980656,0.855249112362
5050,1.0,0.984589893352,0.858315993139
5060,1.0,0.986113238977,0.86138237071
5070,1.0,0.987634021565,0.864448223964
5080,1.0,0.989152245153,0.867513531936
5090,1.0,0.990667913773,0.870578273812
5100,1.0,0.992181031459,0.873642428923
5110,1.0,0.993691602243,0.876705976748
5120,1.0,0.995199630155,0.879768896913
5130,1.0,0.996705119227,0.882831169189
5140,1.0,0.998208073486,0.88589277349
5150,1.0,0.999708496962,0.888953689875
5160,0.99879505995,1.0,0.890939075276
5170,0.997305512208,1.0,0.892661615558
5180,0.995822898409,1.0,0.894380525193
5190,0.994347172557,1.0,0.896095810417
5200,0.992878289054,1.0,0.897807477488
5210,0.991416202701,1.0,0.899515532682
5220,0.98996086869,1.0,0.9012199823
5230,0.988512242598,1.0,0.902920832659
5240,0.987070280388,1.0,0.904618090101
5250,0.985634938403,1.0,0.906311760981
5260,0.984206173358,1.0,0.908001851679
5270,0.98278394234,1.0,0.909688368589
5280,0.981368202806,1.0,0.911371318125
5290,0.979958912572,1.0,0.913050706718
5300,0.978556029817,1.0,0.914726540815
5310,0.977159513073,1.0,0.916398826881
5320,0.975769321224,1.0,0.918067571396
5330,0.974385413504,1.0,0.919732780856
5340,0.973007749489,1.0,0.921394461773
5350,0.971636289097,1.0,0.923052620673
5360,0.970270992583,1.0,0.924707264095
5370,0.968911820536,1.0,0.926358398595
5380,0.967558733873,1.0,0.928006030741
5390,0.966211693839,1.0,0.929650167112
5400,0.964870662005,1.0,0.931290814304
5410,0.963535600256,1.0,0.932927978922
5420,0.962206470799,1.0,0.934561667585
5430,0.960883236152,1.0,0.936191886922
5440,0.959565859142,1.0,0.937818643574
5450,0.958254302905,1.0,0.939441944193
5460,0.95694853088,1.0,0.941061795442
5470,0.955648506805,1.0,0.942678203992
5480,0.954354194717,1.0,0.944291176525
5490,0.953065558947,1.0,0.945900719734
5500,0.951782564118,1.0,0.947506840319
5510,0.950505175142,1.0,0.949109544989
5520,0.949233357213,1.0,0.950708840463
5530,0.947967075813,1.0,0.952304733464
5540,0.946706296698,1.0,0.953897230728
5550,0.945450985907,1.0,0.955486338996
5560,0.944201109747,1.0,0.957072065014
5570,0.942956634802,1.0,0.958654415538
5580,0.94171752792,1.0,0.960233397329
5590,0.940483756218,1.0,0.961809017155
5600,0.939255287076,1.0,0.963381281788
5610,0.938032088132,1.0,0.964950198008
5620,0.936814127287,1.0,0.966515772598
5630,0.935601372692,1.0,0.968078012348
5640,0.934393792754,1.0,0.969636924051
5650,0.933191356131,1.0,0.971192514505
5660,0.931994031728,1.0,0.972744790513
5670,0.930801788695,1.0,0.97429375888
5680,0.929614596427,1.0,0.975839426417
5690,0.928432424557,1.0,0.977381799936
5700,0.927255242959,1.0,0.978920886254
5710,0.926083021741,1.0,0.980456692188
5720,0.924915731247,1.0,0.981989224562
5730,0.923753342051,1.0,0.983518490197
